,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,title,variety,winery
60591,60591,US,"There is a lot of fruit in the aroma and flavor of this wine. That, along with a touch of floral influence, make this medium-bodied wine fresh and alluring. Notes like Anjou pear, jasmine, ripe peach and a hint of vanilla swirl softly around the palate.",,88,10.0,California,River Junction,Central Valley,McManis 2016 Chardonnay (River Junction),Chardonnay,McManis
777,777,Italy,"Verduzzo is a very interesting grape that tends to exude oxidized aromas of candied fruit, butterscotch and carmel. But when made well, as in the case of this selection, it offers power, concentration and natural richness as well.",Cràtis,92,18.0,Northeastern Italy,Colli Orientali del Friuli,,Scubla 2008 Cràtis Verduzzo (Colli Orientali del Friuli),Verduzzo,Scubla
78014,78014,US,"Off-the-charts alcohol notwithstanding, this massive wine will surely please those who like their reds big, dense and deep. It's principally Grenache, packed with pure fruit flavors of cassis and blackberry compote. It retains sufficient acidity to keep it buoyant. Tannins are tongue scrapers, bone dry and astringent. This is best sipped solo, or perhaps with a really juicy, fat-laden steak.",Sundown,91,38.0,Oregon,Oregon,Oregon Other,Francis Tannahill 2012 Sundown Red (Oregon),Red Blend,Francis Tannahill
31648,31648,Argentina,"Stalky, leathery aromas suggest cooked fruit rater than freshness. This is normal in feel, while the flavor profile settles on rubbery, roasted, stalky berry fruits. Mild bitterness combines with earthiness on the finish.",Phebus,85,12.0,Mendoza Province,Mendoza,,Fabre Montmayou 2012 Phebus Malbec (Mendoza),Malbec,Fabre Montmayou
58159,58159,US,"This has a white pepper flavor, plus acids and green tannins that join forces to make the palate feel jagged. With its berry and currant flavors, this needs to be paired with rich meats and cheeses for balance.",,84,10.0,California,California,California Other,Dancing Bull 2011 Zinfandel (California),Zinfandel,Dancing Bull
88406,88406,France,"A traditional blend of Grenache, Syrah and Mourvèdre, this medium-bodied rosé offers delicate floral aromas as well as some slightly confected bubble-gum scents. It's less overtly fruity on the palate, then finishes with a welcome burst of lime zest.",Roséfine,87,10.0,France Other,Mediterranée,,Marrenon 2014 Roséfine Rosé (Mediterranée),Rosé,Marrenon
49038,49038,Canada,"Though it was picked at 29 brix and fermentation stopped with 87 g/L residual sugar, this carries a bitter streak all through the palate. The sweetness shows as a burst of caramel apple.",Indian Summer,87,30.0,Ontario,Niagara Peninsula,,Cave Spring 2014 Indian Summer Riesling (Niagara Peninsula),Riesling,Cave Spring
109384,109384,Spain,"Roasted and leathery smelling, with aromas of brick dust, root beer and exotic spices. Feels grabby and astringent, with boistrous tannins. It tastes toasty and black, with baked berry flavors and tons of chocolate and spice. It feels a bit choppy on the finish, with an espresso-like aftertaste.",Selección Personal,89,55.0,Northern Spain,Cigales,,Val de Los Frailes 2006 Selección Personal Tempranillo (Cigales),Tempranillo,Val de Los Frailes
32810,32810,France,"From a parcel of 25-year-old vines, this is a concentrated, firm wine that needs to age. It has good potential with its tight, steely character and smoky edge. The fruitiness comes from the organic and biodynamic grapes that give richness as well as a final fresh, crisp aftertaste. Drink from 2017.",Le Clos de Bannon,90,30.0,Loire Valley,Sancerre,,Domaine Fouassier 2014 Le Clos de Bannon  (Sancerre),Sauvignon Blanc,Domaine Fouassier
22672,22672,US,"This wine is complex and deep in flavors, traditional in style and simply gorgeous to sip and savor. It's dry in style, good and tannic in texture, lightly spiced with cedar and cinnamon and grounded in concentrated raspberry and dark cherry flavors.",Estate,90,30.0,California,Sierra Foothills,Sierra Foothills,Martin Lane Winery 2011 Estate Primitivo (Sierra Foothills),Primitivo,Martin Lane Winery
15064,15064,US,"NH is making a heritage blend here from 50% Carignane, 30% Zinfandel from the Big John Vineyard and 20% Petite Sirah from Dalton Vineyard, all grown in Calaveras County. Superfull in body and texture, the blend is high in ripe raspberry and plum, Zin-spicy with savory cedar and smokiness too.",The Deviant,89,42.0,California,Calaveras County,Sierra Foothills,Newsome-Harlow 2009 The Deviant Red (Calaveras County),Red Blend,Newsome-Harlow
27288,27288,US,"The sweet char on a grilled steak will match up with the wine's oaky, blackberry jam flavors. The tannins are firm, the acidity a little on the soft side, making it ready to drink now.",,88,36.0,California,Alexander Valley,Sonoma,Draxton 2011 Malbec (Alexander Valley),Malbec,Draxton
98581,98581,Argentina,"This is another excellent Malbec in Trapiche's single-vineyard series. Aromas of anise and licorice are exotic and a bit unusual, while blueberry, blackberry and herbal hints fill out the bouquet. The palate is full and jammy, maybe a touch soft, with layered flavors of black fruits, pepper and toast. A stocky finish with a licorice reprise shows a spot of heat. Drink through 2017.",Suarez Lastra Terroir Series Single Vineyard,92,50.0,Mendoza Province,La Consulta,,Trapiche 2010 Suarez Lastra Terroir Series Single Vineyard Malbec (La Consulta),Malbec,Trapiche
6096,6096,Argentina,"Vanilla, popcorn, resiny oak, pear and pineapple aromas come in front of a creamy feeling palate. Flavors of oak, vanilla, popcorn and tropical fruits end similarly. This is consistently sweet and oaky from nose to palate to finish.",Felino,87,18.0,Mendoza Province,Mendoza,,Viña Cobos 2014 Felino Chardonnay (Mendoza),Chardonnay,Viña Cobos
34521,34521,US,"Not a lot of aromas in this 14.9% old-vine Zin, though a touch of fruit shows up mid-palate. Pretty so-so.",Altitude: 2401,83,28.0,California,El Dorado,Sierra Foothills,Perry Creek 2008 Altitude: 2401 Zinfandel (El Dorado),Zinfandel,Perry Creek
42906,42906,Argentina,"Gaseous aromas include notes of animal, burnt meat and muddy earth. The palate is gummy and cloying, with sweet, syrupy flavors of candied fruit. Shows a weedy character and a jumbled persona.",,81,13.0,Mendoza Province,Mendoza,,Argento 2008 Cabernet Sauvignon (Mendoza),Cabernet Sauvignon,Argento
32496,32496,France,"Here is a huge ripe and luxurious wine, with great power. The texture is solid, filled with firm tannins, the flavors are black and ripe. Along with the power, though, is much of the elegance and poise that characterizes great Saint-Julien.",,95,40.0,Bordeaux,Saint-Julien,,Château Branaire-Ducru 2000  Saint-Julien,Bordeaux-style Red Blend,Château Branaire-Ducru
48396,48396,Italy,"Firm and refined, this opens with aromas of wild berry, leather, game and a note of chopped herb. The round, full-bodied palate delivers ripe black cherry, clove, toast, mint and licorice alongside ripe, velvety tannins and fresh acidity. It should develop more complexity over the next decade. Drink 2016–2026.",Cerretta,94,103.0,Piedmont,Barolo,,Ca'Romè 2011 Cerretta  (Barolo),Nebbiolo,Ca'Romè
81471,81471,US,"The hot climate of the Cold Creek Vineyard sharpens up the contours of this Chardonnay, which shows more of a classic Washington character. Bright fruit, a mix of apples and peaches and pears, is shot through with streaks of butterscotch from fermentation in new French oak. It's been through 100% malolactic, yet retains some crispness. Polished and full-bodied.",Cold Creek Vineyard,89,20.0,Washington,Columbia Valley (WA),Columbia Valley,Chateau Ste. Michelle 2005 Cold Creek Vineyard Chardonnay (Columbia Valley (WA)),Chardonnay,Chateau Ste. Michelle
35729,35729,France,"Attractively spicy as well as fruity, this is a ginger and apricot-flavored wine. Great acidity balances the warm fruitiness. Full in the mouth while also crisp, the wine is ready to drink.",Les Cras,91,21.0,Burgundy,Saint-Véran,,Domaine des Valanges 2014 Les Cras  (Saint-Véran),Chardonnay,Domaine des Valanges
87882,87882,Italy,"Small percentages of Croatina, Oseleta and Forsellina grapes are added to this traditional Valpolicella blend. It's bright and fruity, with cherry and blueberry notes that are backed by a touch of smooth spice and a polished finish.",Terra di San Colombano,88,27.0,Veneto,Valpolicella Superiore,,Trabucchi d'Illasi 2007 Terra di San Colombano  (Valpolicella Superiore),"Corvina, Rondinella, Molinara",Trabucchi d'Illasi
82862,82862,US,"A penetrating whiff of wintergreen is the first impression of this aromatic young wine. The tightly-wound fruit brings cranberry and tart plum flavors into focus, followed by a lick of dark chocolate running through stiff tannins.",,88,30.0,Oregon,Willamette Valley,Willamette Valley,Roco 2012 Pinot Noir (Willamette Valley),Pinot Noir,Roco
103642,103642,France,"Minerally and structured wine with a serious and complex range of flavors. The wine is richly textured, layering black currant fruits, a very dry character with dense tannins and intense acidity. It shows the potential for elegance and balance. Drink from 2017.",Cuvée Icône du Château de Haute-Serre,93,140.0,Southwest France,Cahors,,Georges Vigouroux 2010 Cuvée Icône du Château de Haute-Serre Malbec (Cahors),Malbec,Georges Vigouroux
121878,121878,Spain,"A sappy wild-berry aroma turns mulchy with airing. The palate feels sharp and puckery, with very high acidity that creates short, tart, ultrajuicy raspberry and red plum flavors.",Crianza,81,15.0,Central Spain,La Mancha,,Finca Antigua 2008 Crianza Red (La Mancha),Red Blend,Finca Antigua
11136,11136,France,"This wood-aged wine is rich, full with tannins and great black fruits. The vineyard is in the heart of Cahors to the west of the city, able to produce classic Malbec, ripe and full of fruits and acidity. The wine is made to age, so drink from 2019.",,89,21.0,Southwest France,Cahors,,Clos d'Audhuy 2014 Malbec (Cahors),Malbec,Clos d'Audhuy
122047,122047,France,"Rich and smoothly textured, this is rich with red berry fruits balanced by intense acidity. The structure is ripe, full of concentration from low-yield vines and ready for aging. Drink from 2017. This is from the Fer Servadou grape, similar to Cabernet Sauvignon, and known in Gaillac as Braucol. The estate, which spans both sides of the Tarn river, has been in the Hirissou family for six generations.",Florentin,90,40.0,Southwest France,Gaillac,,Domaine du Moulin 2013 Florentin Braucol (Gaillac),Braucol,Domaine du Moulin
55147,55147,Italy,"Darkly colored, this wine opens with aromas of menthol, espresso and plum. The one-dimensional palate is surprisingly dense for the vintage, offering black cherry, espresso and clove alongside polished tannins.",,87,27.0,Tuscany,Rosso di Montalcino,,La Fiorita 2014  Rosso di Montalcino,Sangiovese,La Fiorita
600,600,Italy,"Crisp and light with pretty mineral dustings behind the ripe peach and melon aromas, this Gavi shows a full and generous style. Its nicest quality is that it offers both softness in the mouth and elegance on the bouquet.",Le Marne,87,19.0,Piedmont,Gavi,,Michele Chiarlo 2011 Le Marne  (Gavi),Cortese,Michele Chiarlo
24535,24535,US,"With moderate alcohol and brisk acidity, this shows the elegance of the 2011 vintage, and it offers ripe flavors of cherries, cranberries and pomegranates. Drink now.",,86,22.0,California,Sonoma County,Sonoma,Siduri 2011 Pinot Noir (Sonoma County),Pinot Noir,Siduri
84535,84535,Italy,"This wine's underbrush, menthol, dried herb and game aromas follow through to the firm, linear palate, along with sour cherry, pomegranate, espresso and clove flavors. Tightly woven tannins provide grip while a star anise note marks the close.",San Stunet,88,60.0,Piedmont,Barbaresco,,Piero Busso 2013 San Stunet  (Barbaresco),Nebbiolo,Piero Busso
57967,57967,Italy,"Made entirely with Sangiovese, this fresh wine opens with aromas of black cherry and freshly ground pepper that carry over to the palate along with notes of black raspberry and a hint of orange rind. Racy acidity and supple tannins provide the framework. It's easy-drinking, so enjoy soon.",Locorosso,87,15.0,Tuscany,Toscana,,Pratesi 2014 Locorosso Sangiovese (Toscana),Sangiovese,Pratesi
116223,116223,US,"A spicy wine, silky and light-bodied, with sour raspberry candy, mushroom and sandalwood flavors leading to a long, complex finish. It's an elegant, polished wine, with modest alcohol . Seems best for drinking over the next few years.",Bien Nacido Vineyard,90,45.0,California,Santa Maria Valley,Central Coast,Chanin 2008 Bien Nacido Vineyard Pinot Noir (Santa Maria Valley),Pinot Noir,Chanin
116060,116060,US,"A big wine, tannic and extracted in blackberry, blueberry and red currant flavors, with notes of bacon, mocha, black pepper and sandalwood. It shows plenty of class, but is still too young. Give until 2017 in the cellar.",Colson Canyon Vineyard,90,36.0,California,Santa Barbara County,Central Coast,Margerum 2011 Colson Canyon Vineyard Syrah (Santa Barbara County),Syrah,Margerum
47279,47279,Italy,"Amarone San Giorgio offers aromas of cherry, spice and clove but doesn't have the natural intensity of other wines from this vintage. It's  more neutral and shy from an aromatic point of view although the mouthfeel is vibrant and crisp.",San Giorgio,87,40.0,Veneto,Amarone della Valpolicella Classico,,Carlo Boscaini 2004 San Giorgio  (Amarone della Valpolicella Classico),"Corvina, Rondinella, Molinara",Carlo Boscaini
86157,86157,Spain,"Robust on the bouquet, with ample red berry fruit and vanilla. The palate has a deep, layered feel and flavors of plum, berry and peppery spice. A tight blend of Carignan, Garnacha and Syrah that's forward and wiry, with power in reserve. Drink now through 2015.",,89,32.0,Catalonia,Montsant,,Besllum 2008 Red (Montsant),Red Blend,Besllum
26534,26534,Italy,"Iris, rose petal, fresh red berry and chopped mint aromas mingle together on this stunning red. The vibrant palate delivers crushed raspberry, red cherry, baking spice and star anise. Firm polished tannins provide structure and impeccable balance. Drink 2018–2028.",Reyna,93,42.0,Piedmont,Barbaresco,,Michele Chiarlo 2013 Reyna  (Barbaresco),Nebbiolo,Michele Chiarlo
88214,88214,US,"A little sweet and jammy in apicots, pineapples and limes, with a sugary finish. But acidity is just fine. Try with Vietnamese and Chinese pork, fish and chicken dishes whose sauces are sugared.",,84,15.0,California,California,California Other,Seven Daughters NV Sauvignon Blanc (California),Sauvignon Blanc,Seven Daughters
48906,48906,US,"This is the smoothest, most polished of Standish's quartet of new Pinots. It's a best-of-barrels selection, and really impressive in cherry, currant, licorice, cola and Provençal herbs. With near-perfect balance, it exemplifies Anderson Valley and also is a standout in the great 2005 vintage. It was crafted, under Standish's “guest winemaker” program, by Zach Rasmussen, of Goldeneye.",Mayflower,95,80.0,California,Anderson Valley,,Standish 2005 Mayflower Pinot Noir (Anderson Valley),Pinot Noir,Standish
36791,36791,US,"Standard Napa Valley Chardonnay, with citrus, peach and herb flavors, enriched with all the bells and whistles of oak, malolactic fermentation and lees aging, and balanced with brisk, lemony acidity.",Estate Bottled,85,34.0,California,Yountville,Napa,Bell 2012 Estate Bottled Chardonnay (Yountville),Chardonnay,Bell
92953,92953,France,"This is a red that shows some richness— ripe cherry flavor, as well as good layer of tannins. There is a juicy character to the wine that is balanced by the smoky flavors from wood aging. Drink now and until 2018.",Bonheur Convivial,87,17.0,Alsace,Alsace,,Rieflé 2011 Bonheur Convivial Pinot Noir (Alsace),Pinot Noir,Rieflé
31687,31687,US,"You can smell the extreme alcohol level on this Syrah. It pinches the nostrils with heat, like a puff of white pepper. It's also overripe, with raisin and prune flavors. Drink up.",Alisos Vineyard,82,37.0,California,Santa Barbara County,Central Coast,a-non-ah-mus 2010 Alisos Vineyard Syrah (Santa Barbara County),Syrah,a-non-ah-mus
11689,11689,Spain,"Rubbery and gaseous smelling, this Bordeaux blend also sports plum and berry scents. The palate is solid but somewhat lean, hollow and acidic. Flavors of tomato sauce, red currant and briny berry fruits finish scratchy, with high acidity.",Mas Elena Merlot-Cabernet Franc-Cabernet Sauvignon,86,22.0,Catalonia,Penedès,,Parés Baltà 2011 Mas Elena Merlot-Cabernet Franc-Cabernet Sauvignon Red (Penedès),Bordeaux-style Red Blend,Parés Baltà
89269,89269,Italy,"Steeped plum, baked earth, grilled herb and tobacco aromas come together on this structured wine. The savory palate offers rich black cherry, mocha, clove, dried herb and licorice alongside firm, ripe tannins. Drink after 2018.",del Comune di Serralunga d'Alba,93,75.0,Piedmont,Barolo,,Rivetto 2011 del Comune di Serralunga d'Alba  (Barolo),Nebbiolo,Rivetto
40479,40479,US,"This is a Merlot-dominant blend, with 30% Cabernet Sauvignon and 15% Cabernet Franc blended in. It offers cooler-climate elements of dried herb, cedar and currant, with the tannins sleek and polished. The finish flirts with a taste of coconut. Drink now through 2021.",Arise,91,54.0,California,Napa Valley,Napa,Blackbird Vineyards 2013 Arise Red (Napa Valley),Red Blend,Blackbird Vineyards
74560,74560,Italy,"Creamy and buttery with gorgeous notes of stone fruit, exotic fruit, vanilla, honey and a playful touch of banana, this wine is an exceptional companion to shellfish, clams or chowder. The aromas are direct, intense and very seductive. This is an opulent, sophisticated wine that wins high scores across the board, thanks to its genuine intensity and its crisp, flavor-rich finish.",Biancosesto,91,23.0,Northeastern Italy,Colli Orientali del Friuli,,La Tunella 2006 Biancosesto White (Colli Orientali del Friuli),White Blend,La Tunella
117635,117635,Italy,"Aromas of spiced plum and exotic spice lead the nose on this robust wine. On the palate, scorching alcohol overwhelms dried black cherry and licorice, throwing the wine completely off balance. Astringent tannins and a green note of powdered sage create an extremely bitter finish.",Sor Ugo,85,35.0,Tuscany,Bolgheri Superiore,,Aia Vecchia 2011 Sor Ugo  (Bolgheri Superiore),Red Blend,Aia Vecchia
28898,28898,Italy,"Made with 100% Merlot, this has subdued aromas suggesting ripe red berry and dark spice. The one-dimensional palate isn't very expressive, offering hints of dried plum and clove alongside rather evolved tannins.",,86,40.0,Tuscany,Toscana,,Vignamaggio 2013 Merlot (Toscana),Merlot,Vignamaggio
51344,51344,US,"The aromas pop with notes of fresh flowers, smoked meat, stems, mineral, smoke, white pepper and an earthy funk. The flavors dance on the palate, with mouthwatering fruit and savory notes that lead to an outrageously long finish. It's equal parts elegance and intensity.",La Paciencia Vineyard,94,75.0,Washington,Walla Walla Valley (WA),Columbia Valley,No Girls 2013 La Paciencia Vineyard Grenache (Walla Walla Valley (WA)),Grenache,No Girls
54893,54893,Italy,"Aromas of ripe plum, roasted coffee bean and espresso come together in the glass. A blend of 80% Sangiovese and 20% Merlot, the firm palate offers dried black cherry, espresso, toasted oak and grilled herb alongside assertive but fine-grained tannins.",Rocca Guicciarda,90,29.0,Tuscany,Chianti Classico,,Barone Ricasoli 2012 Rocca Guicciarda  (Chianti Classico),Red Blend,Barone Ricasoli
101661,101661,France,"This is an opulent ripe wine, named after the four churches in the local village. Full of blackberry flavors that cushion the firm tannins, the wine is generous and finishes with youthful acidity. Structured and dense, the wine will still age well. Drink this fine wine from 2018.",Les Quatre Eglises,90,17.0,Southwest France,Cahors,,Château Bovila 2012 Les Quatre Eglises Malbec (Cahors),Malbec,Château Bovila
31189,31189,US,"This blend of Barbera, Petite Sirah and other red varieties tastes hearty, fruity, full flavored and full bodied, without being too tannic to enjoy easily. Aromas like blackberry jam and flavors reminiscent of dark plum and spicy, smoky oak make it tempting and delicious. Enough fresh acidity keeps it balanced.",Zhu Sha,90,34.0,California,Clements Hills,Central Valley,Cinnabar 2012 Zhu Sha Red (Clements Hills),Red Blend,Cinnabar
66948,66948,US,"Intriguing lemongrass, Asian pear, chamomile, jasmine and pink grapefruit aromas arise on the nose of this dynamic single-block bottling. Tons of energy show on the sip, which is light and yet offers lots of intriguing flavors, from white sesame and chalk to lime peels and grippy yellow grapefruit pithiness.",Block UU Bien Nacido Vineyard,94,35.0,California,Santa Maria Valley,Central Coast,Foxen 2015 Block UU Bien Nacido Vineyard Chardonnay (Santa Maria Valley),Chardonnay,Foxen
2190,2190,US,"Slightly sour Meyer-lemon-pith aromas meet with honeysuckle and yellow pear on the nose of this bottling by veteran Bob Lindquist. There is a strong sizzle of acidity on the sip, where green-apple flavors meet with tart nectarine and lime-peel zip. It's very fresh and food-friendly.",Y Block,89,20.0,California,Santa Barbara County,Central Coast,Qupé 2015 Y Block Chardonnay (Santa Barbara County),Chardonnay,Qupé
46695,46695,US,"There are multiple Freedom Hill selections in this winery's 2015 lineup, but the Pommard clone bottling expresses more of the site's brambly wildness along with its lusciously fruity raspberry flavors. Texture and length elevates it above much of the competition.",Freedom Hill Vineyard Pommard Clone,93,48.0,Oregon,Willamette Valley,Willamette Valley,Patricia Green Cellars 2015 Freedom Hill Vineyard Pommard Clone Pinot Noir (Willamette Valley),Pinot Noir,Patricia Green Cellars
12341,12341,US,"The 10% Cabernet Sauvignon in the blend adds extra muscle to this toasty, sleek wine. It's light but polished, with pretty scents and flavors of rose water and raspberries. The generous acidity of the grape keeps it lively and fresh.",Stillwater Creek Vineyard,88,28.0,Washington,Columbia Valley (WA),Columbia Valley,Novelty Hill 2011 Stillwater Creek Vineyard Sangiovese (Columbia Valley (WA)),Sangiovese,Novelty Hill
81805,81805,Italy,"Aromas of tropical fruit and pressed white flower take center on this medium-bodied white. On the palate, bright acidity balances out dried yellow fruit, citrus zest and toasted oak. Enjoy now to capture the remaining fruit.",Aternum,87,15.0,Central Italy,Trebbiano d'Abruzzo,,Talamonti 2011 Aternum  (Trebbiano d'Abruzzo),Trebbiano,Talamonti
7076,7076,Argentina,"Few wineries in Argentina make more individual wines than Achaval-Ferrer. And while some are great, others leave you scratching your head or wanting something different. This one has a deep hue but a strange mix of herbal, floral aromas that hint at air freshener. The palate is quite acid-driven and downright sharp, with pounding blueberry and kirsch flavors. More austere and tangy than we prefer.",,83,29.0,Mendoza Province,Mendoza,,Achaval-Ferrer 2007 Malbec (Mendoza),Malbec,Achaval-Ferrer
34680,34680,US,"Cabernet Sauvignon (88%) takes the lead on this wine, with the balance Cabernet Franc, Merlot and Syrah. Aromas of blackberry, blue fruit, flowers and barrel spice are followed by pitch-black-fruit flavors. Lightly chewy tannins provide some heft but have room to broaden.",,92,75.0,Washington,Red Mountain,Columbia Valley,Col Solare 2013 Red (Red Mountain),Red Blend,Col Solare
72335,72335,France,"White peach and spice notes billow aromatically in this soft, creamy textured wine. There is attractive acidity along with a touch of honey that softens and rounds out the acidity. It's ready to drink, although it will age well in the bottle.",Brut,86,13.0,Alsace,Crémant d'Alsace,,Hubert Meyer NV Brut Sparkling (Crémant d'Alsace),Sparkling Blend,Hubert Meyer
88092,88092,Spain,"Red-fruit aromas lead the charge, but they come with a green, candied component. This is flabby in feel, with minty berry flavors and a modest finish.",,83,10.0,Central Spain,Vino de la Tierra de Castilla,,Casa Solar 2011 Tempranillo (Vino de la Tierra de Castilla),Tempranillo,Casa Solar
39754,39754,US,"This estate-grown Pinot is still pretty rough and chewy, with earthy tannins that are chalky and drying. The fruit leans toward cranberry, with some vanilla flavors threaded in.",,85,25.0,Oregon,Willamette Valley,Willamette Valley,Sweet Cheeks 2012 Pinot Noir (Willamette Valley),Pinot Noir,Sweet Cheeks
111420,111420,Italy,"Ripe notes of cherry, black fruit, dried apple skin and tobacco leaf appear on the nose of this Merlot-Cabernet Sauvignon-Cabernet Franc-Marzemino blend. The wine is chewy and dense in the mouth but there's a slightly bitter note on the close that comes as a surprise.",Montesco,87,62.0,Veneto,Colli di Conegliano,,Masottina 2003 Montesco Red (Colli di Conegliano),Red Blend,Masottina
120729,120729,France,"Dry and firmly tannic, this is a powerful and complex wine that will age well. It has solid fruit, a good structure and some juicy acidity hinting at its potential. Drink from 2015.",Cuvée du Château,87,17.0,Provence,Coteaux d'Aix-en-Provence,,Château de Beaupré 2010 Cuvée du Château Cabernet-Syrah (Coteaux d'Aix-en-Provence),Cabernet-Syrah,Château de Beaupré
118395,118395,Spain,"Waxy, honeyed aromas of melon and white flowers lead to a plump, leesy, creamy but balanced palate full of bready notes, stone-fruit flavors and vanilla. Another wave of leesy vanilla, melon, tropical fruit and cream takes over the finish. This contains Viognier, Garnacha Blanca and Chenin Blanc, a small portion of which was barrel fermented.",Font de la Figuera,90,40.0,Catalonia,Priorat,,Clos Figueras 2013 Font de la Figuera White (Priorat),White Blend,Clos Figueras
28266,28266,Spain,"Red berry and mild matchstick aromas augment the resiny oak scents from being barrel fermentation. It's juicy, fresh and healthy in the mouth, with a mix of red fruit and stone fruit flavors and a finish that's mild, consistent and long.",Rosado Fermentado en Barrica,87,14.0,Northern Spain,Ribera del Duero,,Pradorey 2011 Rosado Fermentado en Barrica Rosé (Ribera del Duero),Rosé,Pradorey
31530,31530,US,"Packaged in a cute yellow recyclable Tetrapak, this easy Chard is sweet in pineapple juice and green apple flavors, balanced with crisp acidity.",,84,4.0,California,California,California Other,Bandit NV Chardonnay (California),Chardonnay,Bandit
7775,7775,Spain,"Earthy aromas of olive, tobacco, prune and oak set up a palate with drawing tannins. This tastes of coffee, mocha and earthy mixed berries. The finish is meaty in texture, with compatible oak spice and berry-fruit notes.",Gran Reserva,91,29.0,Northern Spain,Rioja,,Sonsierra 2010 Gran Reserva  (Rioja),Tempranillo,Sonsierra
78438,78438,US,"A feminine, almost soft Pinot Noir, this opens nicely with scents of roses, red fruits, and pine forest. Despite its light color, it has plenty of grip and density in the mouth, even bringing some streaks of light milk chocolate into the finish.",3 Vineyard,89,32.0,Oregon,Willamette Valley,Willamette Valley,Chehalem 2008 3 Vineyard Pinot Noir (Willamette Valley),Pinot Noir,Chehalem
3670,3670,US,"Soft, fruity and simple, with blackberry, cherry and mocha flavors. Basically dry, but tastes as sweet as jam. Syrah, Cabernet and Mourvèdre.",Paso del Sol,84,30.0,California,Central Coast,Central Coast,Phantom Rivers 2007 Paso del Sol Red (Central Coast),Red Blend,Phantom Rivers
103138,103138,US,"A great Cabernet that will proudly stand beside the best of Napa Valley. Made in the modern style, it's soft and sweet in blackberry, cherry, currant and dark-chocolate flavors, but the finish is thoroughly dry, wrapped in a scour of tannins and acids. So good to drink now, you might forget to age it, but don't. This will provide plenty of deliciousness over the next six-plus years.",Estate,94,75.0,California,Alexander Valley,Sonoma,Lancaster 2008 Estate Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Lancaster
45381,45381,US,"It's a treat to taste this varietal that is so popular in Italy, but rarely bottled by California wineries. This is a big-impact wine that is not overly full bodied. It is dark colored, full of dark-fruit flavors like blackberry and black fig, and moderately tannic but also fresh and lively.",,88,28.0,California,Mendocino County,,Monte Volpe 2013 Montepulciano (Mendocino County),Montepulciano,Monte Volpe
4932,4932,Argentina,"A bit grassy and green, with good power, herbal black fruit aromas, spice and cola. The palate is very high in acidity, which at first creates a sheering sharpness and tart plum flavors. With more airing it grows rounder and more complex, but overall it's exacting, odd and funky.",Don David Finca La Maravilla #6,86,20.0,Other,Cafayate,,Michel Torino 2009 Don David Finca La Maravilla #6 Malbec (Cafayate),Malbec,Michel Torino
6453,6453,France,"With that extra concentration that comes from low-yielding old vines, this has great depth of flavor. It has an apple flavor and crisp, citrusy acidity as well as a more toasty character. Complex and certainly ageworthy, this should keep for at least five years.",Les Vieilles Vignes Montmains Premier Cru,91,54.0,Burgundy,Chablis,,Pascal Bouchard 2010 Les Vieilles Vignes Montmains Premier Cru  (Chablis),Chardonnay,Pascal Bouchard
22442,22442,France,"Full bodied and ripe, this Chardonnay is packed with yellow fruit and pear flavors, and it shows the steely, minerally character typical of Chablis. It has a youthful brightness on the finish, and it will fill out over the next few months.",Vieilles Vignes Fourchaume Premier Cru,89,80.0,Burgundy,Chablis,,Domaine Vrignaud 2011 Vieilles Vignes Fourchaume Premier Cru  (Chablis),Chardonnay,Domaine Vrignaud
16844,16844,Italy,"Any baseball fan will peg the nose as being that of ballpark franks with yellow mustard. That strange meaty, pickled, spicy character carries onto the palate, where there's also some mineral character. The finish is clipped and short, which is probably a benefit after all the funky aromatics and flavors that come before.",Isonzio,82,15.0,Northeastern Italy,Friuli Venezia Giulia,,Pierpaolo Pecorari 2000 Isonzio Sauvignon Blanc (Friuli Venezia Giulia),Sauvignon Blanc,Pierpaolo Pecorari
43245,43245,Italy,"This has subdued aromas suggesting dark berry, a whiff of exotic spice and a slight balsamic note. It's rather light bodied and quite simple for Barolo, offering red cherry and a hint of star anise alongside bright acidity and palate-drying, somewhat fleeting, tannins. Drink through 2020.",,87,40.0,Piedmont,Barolo,,CarlindePaolo 2013  Barolo,Nebbiolo,CarlindePaolo
35341,35341,Australia,"From veteran winemaker John Glaetzer, this Cabernet from Langhorne Creek is something of a throwback, spending some 28 months in American oak hogsheads. Yet there's clearly enough cherry and cassis fruit to support all of the vanilla and toasted coconut, and the wine finishes long and balanced. Drink 2010–2020.",Individual Selection,93,50.0,South Australia,Langhorne Creek,,John's Blend 2003 Individual Selection Cabernet Sauvignon (Langhorne Creek),Cabernet Sauvignon,John's Blend
33084,33084,Italy,"Subtle aromas of red berry, new leather, forest floor and a whiff of tobacco lead the nose. On the straightforward, rather lean palate, firm polished tannins and fresh acidity provide the framework for red cherry, cranberry and a hint of clove. Drink 2019–2025.",,88,54.0,Piedmont,Barolo,,Prunotto 2013  Barolo,Nebbiolo,Prunotto
96963,96963,Italy,"The nose doesn't give much away while the full-bodied, straightforward palate offers fleshy black cherry marinated in spirits and a hint of cooking spice. Tightly wound but fleeting tannins provide the framework. It's brawny but simple.",,87,40.0,Tuscany,Brunello di Montalcino,,L'Oca Ciuca 2011  Brunello di Montalcino,Sangiovese,L'Oca Ciuca
