,country,description,designation,points,price,province,region_1,region_2,title,variety,winery,town,lat,lng
247,US,"Cabernet Sauvignon (88%) takes the lead on this wine, with the balance Cabernet Franc, Merlot and Syrah. Aromas of blackberry, blue fruit, flowers and barrel spice are followed by pitch-black-fruit flavors. Lightly chewy tannins provide some heft but have room to broaden.",,92,75.0,Washington,Red Mountain,Columbia Valley,Col Solare 2013 Red (Red Mountain),Red Blend,Col Solare,Redmond,47.678756,-122.121034
249,Spain,"Red-fruit aromas lead the charge, but they come with a green, candied component. This is flabby in feel, with minty berry flavors and a modest finish.",,83,10.0,Central Spain,Vino de la Tierra de Castilla,,Casa Solar 2011 Tempranillo (Vino de la Tierra de Castilla),Tempranillo,Casa Solar,Central,42.46721,0.99117
251,Italy,"Ripe notes of cherry, black fruit, dried apple skin and tobacco leaf appear on the nose of this Merlot-Cabernet Sauvignon-Cabernet Franc-Marzemino blend. The wine is chewy and dense in the mouth but there's a slightly bitter note on the close that comes as a surprise.",Montesco,87,62.0,Veneto,Colli di Conegliano,,Masottina 2003 Montesco Red (Colli di Conegliano),Red Blend,Masottina,Conegliano,45.88246,12.29645
258,US,"Soft, fruity and simple, with blackberry, cherry and mocha flavors. Basically dry, but tastes as sweet as jam. Syrah, Cabernet and Mourvèdre.",Paso del Sol,84,30.0,California,Central Coast,Central Coast,Phantom Rivers 2007 Paso del Sol Red (Central Coast),Red Blend,Phantom Rivers,Shasta Lake,40.687573,-122.374129
260,US,"It's a treat to taste this varietal that is so popular in Italy, but rarely bottled by California wineries. This is a big-impact wine that is not overly full bodied. It is dark colored, full of dark-fruit flavors like blackberry and black fig, and moderately tannic but also fresh and lively.",,88,28.0,California,Mendocino County,,Monte Volpe 2013 Montepulciano (Mendocino County),Montepulciano,Monte Volpe,Guerneville,38.487473,-123.01262
262,France,"With that extra concentration that comes from low-yielding old vines, this has great depth of flavor. It has an apple flavor and crisp, citrusy acidity as well as a more toasty character. Complex and certainly ageworthy, this should keep for at least five years.",Les Vieilles Vignes Montmains Premier Cru,91,54.0,Burgundy,Chablis,,Pascal Bouchard 2010 Les Vieilles Vignes Montmains Premier Cru  (Chablis),Chardonnay,Pascal Bouchard,Chablis,47.81386,3.79835
263,France,"Full bodied and ripe, this Chardonnay is packed with yellow fruit and pear flavors, and it shows the steely, minerally character typical of Chablis. It has a youthful brightness on the finish, and it will fill out over the next few months.",Vieilles Vignes Fourchaume Premier Cru,89,80.0,Burgundy,Chablis,,Domaine Vrignaud 2011 Vieilles Vignes Fourchaume Premier Cru  (Chablis),Chardonnay,Domaine Vrignaud,Chablis,47.81386,3.79835
265,Italy,"This has subdued aromas suggesting dark berry, a whiff of exotic spice and a slight balsamic note. It's rather light bodied and quite simple for Barolo, offering red cherry and a hint of star anise alongside bright acidity and palate-drying, somewhat fleeting, tannins. Drink through 2020.",,87,40.0,Piedmont,Barolo,,CarlindePaolo 2013  Barolo,Nebbiolo,CarlindePaolo,Barolo,44.61094,7.94284
266,Australia,"From veteran winemaker John Glaetzer, this Cabernet from Langhorne Creek is something of a throwback, spending some 28 months in American oak hogsheads. Yet there's clearly enough cherry and cassis fruit to support all of the vanilla and toasted coconut, and the wine finishes long and balanced. Drink 2010–2020.",Individual Selection,93,50.0,South Australia,Langhorne Creek,,John's Blend 2003 Individual Selection Cabernet Sauvignon (Langhorne Creek),Cabernet Sauvignon,John's Blend,Langhorne Creek,-35.29596,139.03591
267,Italy,"Subtle aromas of red berry, new leather, forest floor and a whiff of tobacco lead the nose. On the straightforward, rather lean palate, firm polished tannins and fresh acidity provide the framework for red cherry, cranberry and a hint of clove. Drink 2019–2025.",,88,54.0,Piedmont,Barolo,,Prunotto 2013  Barolo,Nebbiolo,Prunotto,Barolo,44.61094,7.94284
268,Italy,"The nose doesn't give much away while the full-bodied, straightforward palate offers fleshy black cherry marinated in spirits and a hint of cooking spice. Tightly wound but fleeting tannins provide the framework. It's brawny but simple.",,87,40.0,Tuscany,Brunello di Montalcino,,L'Oca Ciuca 2011  Brunello di Montalcino,Sangiovese,L'Oca Ciuca,Montalcino,43.05397,11.48853
269,France,"Almost pure Merlot (95%), this wine is richly endowed with generous fruitiness as well as firm tannins. It's a young wine—all fruit and structure at the moment—and it needs to fill out. When it does, it is going to be a ripe generous wine. Drink from 2019.",,88,25.0,Bordeaux,Puisseguin Saint-Émilion,,Château Lanbersac 2014  Puisseguin Saint-Émilion,Bordeaux-style Red Blend,Château Lanbersac,Bordeaux,44.84044,-0.5805
271,US,"Along with the Cabernet Sauvignon, this Bordeaux-style blend includes small percentages of each of the other five grapes. It's a stylish blend, opening with a precisely-defined toasty aroma, leading into a complex palate built upon red and black fruits, sleek tannins and a hint of caramel.",,91,36.0,Washington,Walla Walla Valley (WA),Columbia Valley,Walla Walla Vintners 2010 Cabernet Sauvignon (Walla Walla Valley (WA)),Cabernet Sauvignon,Walla Walla Vintners,Walla Walla,46.0773,-118.318021
272,US,"Crispness provides the balance needed for this Chardonnay. It gives a tartness to the fairly sweet, candied flavors of pineapples and butterscotch.",Reserve,84,45.0,California,Los Carneros,Napa-Sonoma,Bennett Lane 2006 Reserve Chardonnay (Los Carneros),Chardonnay,Bennett Lane,Santa Margarita,35.289349,-119.880599
273,Spain,"Stewy yet flush, with shearing acids, this has a meaty, leafy aroma that sets up the angular palate. Flavors of stewed berry, spiced tomato and burnt leaves turn slightly bitter on what amounts to a short finish.",Crianza,83,15.0,Central Spain,La Mancha,,Gladium 2009 Crianza Tempranillo (La Mancha),Tempranillo,Gladium,Central,42.46721,0.99117
275,Italy,"Stalky underbrush, crushed violet and woodland berry aromas lead the way. The brisk palate offers tart cherry, clove, a hint of chopped herb and an orange zest note alongside racy acidity. Tightly knit tannins leave a firm finish.",,87,27.0,Tuscany,Rosso di Montalcino,,Fattoi 2014  Rosso di Montalcino,Sangiovese,Fattoi,Montalcino,43.05397,11.48853
276,US,"With this new line, Gallo once again strives to redefine itself, with positive results. Bearing Gina Gallo's signature, it's a fine Cabernet, soft, dry and complex, with flavors of blackberry, black currant and cedar. The structure is all about Napa Valley, showing ripe, smooth tannins and a good bite of acidity. Really a superior Cab, one to drink now and over the next six years.",,93,40.0,California,Napa Valley,Napa,Gallo Signature Series 2008 Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Gallo Signature Series,Santa Margarita,35.29334,-120.004767
277,US,"Lemon and herb aromas suggest a lean, crisp wine but the flavors are fairly ripe and the texture is rich and soft. Appley, floral and not at all tart, this is pleasant to sip.",Authentic,85,12.0,California,California,California Other,Gnarly Head 2013 Authentic White (California),White Blend,Gnarly Head,California City,35.125624,-118.021353
280,Italy,"Dense, lush and bold, this wine shows red cherry, blackberry, rum cake, cinnamon spice and dark chocolate. The wine's concentration is particularly attractive and adds momentum to the already long finish. Easy, soft and almost ready to drink now.",Bramante Cosimi,92,45.0,Tuscany,Brunello di Montalcino,,Il Poggiolo E. Cosimi 2007 Bramante Cosimi  (Brunello di Montalcino),Sangiovese Grosso,Il Poggiolo E. Cosimi,Montalcino,43.05397,11.48853
284,US,"A vineyard along the Silverado Trail in Napa, not far from the winery, Grande was planted in 1920 and is still farmed by the original farmer's family, Dorothy and Tony Rossi. Here, it offers structure and elegance despite a brooding weight and power, the flavors leaning toward blackberry and licorice.",Grande Vineyard,94,50.0,California,Napa Valley,Napa,Robert Biale 2013 Grande Vineyard Zinfandel (Napa Valley),Zinfandel,Robert Biale,California City,35.113893,-117.982087
291,France,"A ripe perfumed wine with fine tannins as well as dense fruit. Blackberry flavors are up there along with the acidity and crisp aftertaste. It's a wine with a good future, ready to drink from 2018.",Château Jean de Bel Air,89,15.0,Bordeaux,Bordeaux,,Château Maison Noble Saint Martin 2015 Château Jean de Bel Air  (Bordeaux),Bordeaux-style Red Blend,Château Maison Noble Saint Martin,Bordeaux,44.84044,-0.5805
294,US,"Those who buy Riesling for its intense aromas will be disappointed with the subdued nose on this example from the Finger Lakes. Nonetheless, the palate delivers attractive stone fruit flavors of peach and apricot and the truly crisp, dry finish makes for a refreshing package.",Dry,85,13.0,New York,Finger Lakes,Finger Lakes,Lakewood 2007 Dry Riesling (Finger Lakes),Riesling,Lakewood,Williamson,43.282471,-77.155738
298,US,"The winery pulled out all the stops on this Cabernet-based Bordeaux blend, yet the wine is so tannic and sharp now. Shows massively extracted black currant and oak flavors that run deep and long in the finish. Who knows what this wine might do in 10–15 years, but it's a roll of the dice.",Paradiso,91,75.0,California,Napa Valley,Napa,V. Sattui 2009 Paradiso Red (Napa Valley),Bordeaux-style Red Blend,V. Sattui,California City,35.069241,-117.948609
309,US,"A good wine. It's a little tough and gritty in texture, but shows ripe flavors of black currants, mocha and spices. Finishes sweet and tannic, but not an ager.",,86,30.0,California,Paso Robles,Central Coast,Opolo 2005 Cabernet Franc (Paso Robles),Cabernet Franc,Opolo,Paso Robles,35.62664,-120.691
312,US,"A great find, this is fully ripe but not too full bodied, offering opulent dark plum and black currant aromas, broad and rich flavors, and a plush, velvety texture. Subtle cedar and spice tones from oak barrels add complexity to the dark fruit notes, and soft tannins fill in the texture and help the finish linger.",,92,32.0,California,Red Hills Lake County,,Sol Rouge 2010 Cabernet Franc (Red Hills Lake County),Cabernet Franc,Sol Rouge,California City,35.130657,-117.937412
313,Italy,"Like all the wines created by Roccolo Grassi, you can really feel that extra push towards quality and elegance here. La Broia is an oak-aged Soave with a soft consistency and loads of peach, tangerine, melon and white fruit intensity. The finish is smooth and creamy.",La Broia,90,20.0,Veneto,Soave,,Roccolo Grassi 2010 La Broia  (Soave),Garganega,Roccolo Grassi,Soave,45.41955,11.24594
315,France,"The wine has weight, is warm and spicy, with bold fruit flavors. A fine wine from Angludet, it is ripe, the wood judiciously balanced, finishing with tight acidity.",,89,40.0,Bordeaux,Margaux,,Château d'Angludet 2009  Margaux,Bordeaux-style Red Blend,Château d'Angludet,Bordeaux,44.84044,-0.5805
317,US,"Firmly tannic and dry, this Cabernet, which was blended with a little Merlot, Malbec and Petit Verdot, is one for the cellar. The tannins are tough and astringent, but when they melt away over the next decade or so, they'll leave behind sweet currants, cedar and violets.",Kathryn Hall,92,75.0,California,Napa Valley,Napa,Hall 2005 Kathryn Hall Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Hall,Napa,38.304346,-122.308923
321,US,"This wine is half Cabernet Sauvignon, with the rest equal parts Cabernet Franc and Merlot. It's subtle on the nose, with currant, flower, crushed rock and herb notes. The palate is firmly structured, punctuating the flavors on the finish. Best 2025–2030.",Tapteil Vineyard,92,45.0,Washington,Red Mountain,Columbia Valley,Cadence 2014 Tapteil Vineyard Red (Red Mountain),Bordeaux-style Red Blend,Cadence,Redmond,47.678756,-122.121034
327,Italy,"Truffle, leather, scorched earth, menthol and steeped plum aromas lead the way on this full-bodied red. The brawny palate offers dried black cherry steeped in spirits, blackberry confiture, licorice, cinnamon and mocha alongside a backbone of fine-grained tannins. You can barely detect the warmth of alcohol on the finish. Give it a few more years to fully come together. Drink 2018–2026.",Riserva,93,133.0,Tuscany,Brunello di Montalcino,,Donatella Cinelli Colombini 2010 Riserva  (Brunello di Montalcino),Sangiovese,Donatella Cinelli Colombini,Montalcino,43.05397,11.48853
329,Italy,"Aromas of blue flowers, black-skinned berries, baking spice and Mediterranean herb take shape in the glass. A blend of 90% Sangiovese and 10% Cabernet Sauvignon, the approachable palate doles out black cherry, crushed plum, cinnamon and clove while dried mint provides backup. Silky tannins and fresh acidity balance the juicy flavors. Drink through 2018.",Violetta,91,30.0,Tuscany,Toscana,,Tenuta di Ceppaiano 2010 Violetta Red (Toscana),Red Blend,Tenuta di Ceppaiano,Ceppaiano,43.59077,10.53782
332,US,"Shows plenty of oak influence, wrapping around tropical fruit notes. It's richly textured if somewhat low in acid, giving it a weighty feel on the palate. Drink now.",White Elephant,85,17.0,California,California,California Other,Vinum 2010 White Elephant White (California),White Blend,Vinum,Arcata,40.8730113,-124.0828994
333,US,"Very dry and fairly tannic, it's severe on first sip and hard to appreciate, although there are some good black cherry, cola, leather, oak and black pepper flavors. It's complex in its own way, and gets better as it breathes in the glass. Give it a good, long decanting, and drink it now through 2018. The blend is Mourvèdre, Grenache, Syrah and Counoise, in that order.",Esprit de Tablas,90,55.0,California,Paso Robles,Central Coast,Tablas Creek 2011 Esprit de Tablas Red (Paso Robles),Rhône-style Red Blend,Tablas Creek,Paso Robles,35.62664,-120.691
335,France,"Sweet fruit dominates this attractive, spicy wine. It has ample acidity, giving a fine, fresh black-currant character and tannins that are already melding into the wine. For medium-term aging of 3–5 years.",,88,26.0,Bordeaux,Haut-Médoc,,Château Lamothe-Cissac 2011  Haut-Médoc,Bordeaux-style Red Blend,Château Lamothe-Cissac,Bordeaux,44.84044,-0.5805
343,France,"This is a serious wine, with its mineral texture and tangy structure. It has plenty of apple and zingy orange flavors. But the main thrust at this stage is of a wine poised for considerable aging. Fresh and still tight, it needs several years. Drink from 2018.",Cuvée Fleuron Premier Cru Blanc de Blancs Brut,93,70.0,Champagne,Champagne,,Pierre Gimonnet et Fils 2009 Cuvée Fleuron Premier Cru Blanc de Blancs Brut Chardonnay (Champagne),Chardonnay,Pierre Gimonnet et Fils,Champagné,48.02185,0.33096
347,US,"Dark in the glass, this wine by Carl Bowker offers fragrant vanilla, baked blueberry, a touch of pepper and coffee-cocoa foam on the rich and inviting nose. Hearty blueberry and blackberry fruit flavors are lifted by baking spice, bound to a tart, tannic, black-plum-skin-like structure.",,93,62.0,California,Paso Robles Willow Creek District,Central Coast,Caliza 2013 Syrah (Paso Robles Willow Creek District),Syrah,Caliza,Willow Creek,40.93958,-123.63144
348,France,"Situated next to the Grand Cru vineyards, this Premier Cru has produced a rich, concentrated and beautifully dense wine. Its rich, creamy texture is enhanced by bright acidity and underlying power. Touches wood aging show through in its spiciness. Drink from 2019.",Montée de Tonnerre Premier Cru,93,40.0,Burgundy,Chablis,,La Chablisienne 2014 Montée de Tonnerre Premier Cru  (Chablis),Chardonnay,La Chablisienne,Chablis,47.81386,3.79835
349,France,"This delicious, crisp wine conveys a great bite of fruit and acidity. It has light tannins, tasty crushed raspberry fruits and lively acidity at the end.",,88,15.0,Bordeaux,Bordeaux Rosé,,Château la Verrière 2014 Rosé (Bordeaux Rosé),Rosé,Château la Verrière,Bordeaux,44.84044,-0.5805
350,France,"With its upfront, ripe apple and pear flavors, this wine is immediately attractive. Behind the fruitiness, there is a firm, structured character of minerality and a steely edge, which makes this a Chardonnay to age for 3–4 years.",Mont de Milieu Premier Cru,90,65.0,Burgundy,Chablis,,Domaine Charly Nicolle 2011 Mont de Milieu Premier Cru  (Chablis),Chardonnay,Domaine Charly Nicolle,Chablis,47.81386,3.79835
351,US,"Earthy and yeasty like baked bread, this wine is aged in both French and American oak with no toast, allowing light-bodied cherry and pomegranate to speak. A metallic tinge mars the finish.",,83,24.0,California,Sonoma Coast,Sonoma,Garnet Vineyards 2014 Pinot Noir (Sonoma Coast),Pinot Noir,Garnet Vineyards,Kenwood,38.414811,-122.546653
354,US,"An odd, one-dimensional white that's simple in execution, style and taste.",,81,13.0,California,Lodi,Central Valley,Insatiable 2012 Chardonnay (Lodi),Chardonnay,Insatiable,Northridge,34.247532,-118.526076
357,Italy,"Damo has earthy fragrances of tobacco leaf, underbrush and truffle, along with notes of raspberry and spice. The palate shows ripe black cherry, vanilla and sweet spice flavors, as well as a hint of licorice. This has nice depth and balance, but will be more complex after 2017.",Damo,93,65.0,Tuscany,Vino Nobile di Montepulciano,,Montemercurio 2007 Damo  (Vino Nobile di Montepulciano),Red Blend,Montemercurio,Montepulciano,43.09998,11.78704
358,US,"Aromas of spice, red fruit and milk chocolate are followed by an opulent palate of fruit and barrel flavors. It appeals on every level.",,91,30.0,Washington,Walla Walla Valley (WA),Columbia Valley,Walla Walla Vintners 2013 Merlot (Walla Walla Valley (WA)),Merlot,Walla Walla Vintners,Walla Walla,46.0773,-118.318021
360,Italy,"Made with native grape Prié blanc grown in high vineyards in Valle d'Aosta, this lively sparkler offers a pretty fragrance of hawthorn flower and nectarine peel. The fresh, refined palate doles out citrus, tart green apple and white almond alongside steely bubbles and crisp acidity.",Extreme Metodo Classico,88,28.0,Northwestern Italy,Valle d'Aosta,,Cave du Vin Blanc de Morgex et de la Salle 2011 Extreme Metodo Classico Prié Blanc (Valle d'Aosta),Prié Blanc,Cave du Vin Blanc de Morgex et de la Salle,De La Salle,40.2193,-75.2416
361,Italy,"This is a rich and succulent wine made from Cab Franc and 15% Merlot. This wine is packed tight, with tones of espresso bean, blackberry coulis, milk chocolate, dried lavender and a playful touch of scented candle or incense. Ripe tannins and a long finish. Drink after 2012.",La Regola,93,42.0,Tuscany,Montescudaio,,La Regola 2004 La Regola Cabernet Franc (Montescudaio),Cabernet Franc,La Regola,Montescudaio,43.32603,10.62602
365,Italy,"Fresh and youthful, this opens with cherry and blackberry scents. It shows firm tannins and good structure on the finish. The blend is 60% Merlot and 40% Cabernet Sauvignon.",Zizzolo,88,15.0,Tuscany,Bolgheri,,Fornacelle 2011 Zizzolo  (Bolgheri),Red Blend,Fornacelle,Bolgheri,43.23391,10.6194
366,France,"A soft, rounded wine, feeling generous, even opulent. The acidity is there, fitting into the folds of the rich texture.",,89,30.0,Burgundy,Pouilly-Fuissé,,Dominique Cornin 2008  Pouilly-Fuissé,Chardonnay,Dominique Cornin,Fuissé,46.28087,4.74286
367,US,"With production of more than 51,000 cases, this Cabernet will wash down lots of steaks and burgers. It's softly tannic in the mouth, with easy flavors of blackberry tea and oak.",Reserve,85,23.0,California,Alexander Valley,Sonoma,Frei Brothers 2011 Reserve Cabernet Sauvignon (Alexander Valley),Cabernet Sauvignon,Frei Brothers,California City,35.121108,-117.987451
368,US,"A stylistic offering of Pinot Gris with notes of spice, marzipan and lees along with lemony, sharp-edged acids. Not for everyone, but has much to enjoy.",LEHM,87,20.0,Washington,Lake Chelan,Columbia Valley,Vin du Lac 2010 LEHM Pinot Gris (Lake Chelan),Pinot Gris,Vin du Lac,Chelan,47.836016,-120.023805
370,Italy,"It's amazing how much this wine smells like peppermint. A blend of Cabernet, Merlot and Syrah, this is a distinctive wine that offers playful aromas of clove, cardamom, chocolate and rhubarb behind a solid wall of spearmint. It has tight tannins, a solid structure and fresh acidity.",Ocra,90,40.0,Tuscany,Bolgheri,,Guicciardini Strozzi 2005 Ocra  (Bolgheri),Red Blend,Guicciardini Strozzi,Bolgheri,43.23391,10.6194
377,US,"Hefty, spicy aromas like black pepper, cardamom and wood smoke are followed by ripe, almost thick sensations of blackberry, blueberry and dried black fig. The mouthfeel of this wine is broad and soothing, the body extra full, and the finish lingers nicely.",,93,30.0,California,El Dorado,Sierra Foothills,Trinitas 2014 Zinfandel (El Dorado),Zinfandel,Trinitas,El Dorado Hills,38.686847,-121.044846
381,US,"Beautifully balanced and elegant, this is made by one of the winemakers at Cardinale and inspired by the Loire Valley. It offers equal parts fruit, weight and minerality, tasting of fresh-squeezed lime and wet stone, with a layering of viscous vanilla. Medium-sized in terms of texture, it dances on the palate, refreshing throughout.",Naissance,92,30.0,California,Napa Valley,Napa,Galerie 2014 Naissance Sauvignon Blanc (Napa Valley),Sauvignon Blanc,Galerie,Napa,38.30545,-122.275658
382,US,"Big and bold, this is classic coastal Petite Sirah. It's dark in color, robust in texture and massive in blackberry, cherry, currant, mocha and anise flavors that taste like they've been baked into a pie. Dry, crisp and balanced, it will be delicious with a charbroiled steak.",,88,25.0,California,Mendocino,,Stonehedge 2004 Petite Sirah (Mendocino),Petite Sirah,Stonehedge,Santa Rosa,38.441701,-122.661441
384,US,"You can criticize this as being too full-bodied for a Pinot Noir. Some will find it Grenache-like, with its lush, jammy flavors of cherries, raspberries and oak. But what can't be denied is how delicious it is. The fruitiness, acidity and tannins suggest pairing with charbroiled lamb chops or steak. Drink now–2020.",Estate 25th Anniversary,91,36.0,California,Santa Lucia Highlands,Central Coast,McIntyre Vineyards 2012 Estate 25th Anniversary Pinot Noir (Santa Lucia Highlands),Pinot Noir,McIntyre Vineyards,Highlands,37.51994,-122.34386
386,US,"Six Sigma's Cabernet is entirely unproven, but this one shows great promise. With a heavy rusticity, it has a way to go, but the blackberry and currant fruit is so rich, the tannin-acid balance so fine, that it's just a matter of time before this estate lands on the coveted map.",,88,42.0,California,Lake County,,Six Sigma Ranch 2005 Cabernet Sauvignon (Lake County),Cabernet Sauvignon,Six Sigma Ranch,California City,35.133041,-117.996753
387,US,"Adam Comartin's San Jose-based label shines a bright light on this new appellation. This wine shows blackberry shave ice, black cherries, black pepper, cola and the lifting aromatics of violets on the nose. More black pepper spices up the palate, with the balanced cherry and berry power proving quite distinctive and regal.",Tierra Alta Vineyard,92,40.0,California,Ballard Canyon,Central Coast,Comartin 2012 Tierra Alta Vineyard Syrah (Ballard Canyon),Syrah,Comartin,Hayward,37.632684,-122.062118
390,US,"High acidity gives this wine its mouth-tingling, almost sour taste, but oodles of cherries balance it. It's also pretty tannic. Doesn't seem like an ager, so drink with meats in rich tomato sauce, garlic and cheese.",,86,22.0,California,Monterey County,Central Coast,Ca' del Solo 2006 Dolcetto (Monterey County),Dolcetto,Ca' del Solo,Santa Margarita,35.395899,-120.106031
391,Italy,"Castelgiocondo's Brunello aptly represents the new face of Montalcino with its plump, well-extracted and modern style. The wine is packed with soft black cherry, chocolate and coffee aromas and shows a smooth, long-lasting finish.",,93,72.0,Tuscany,Brunello di Montalcino,,Castelgiocondo 2006  Brunello di Montalcino,Sangiovese Grosso,Castelgiocondo,Montalcino,43.05397,11.48853
393,US,"This proprietary red combines equal portions of Cabernet Franc and Petite Sirah with smaller amounts of Cabernet Sauvignon and Zinfandel. Altogether, they form soft, spicy waves of full-bodied flavor, showing off characteristics of leather, black pepper and clove, with the tannins intrusive and lengthy.",XXXIV Proprietary,90,48.0,California,Calistoga,Napa,Vermeil 2013 XXXIV Proprietary Red (Calistoga),Cabernet Blend,Vermeil,Calistoga,38.5788,-122.57971
396,US,"Domaine is the winery's top Pinot Noir: all-estate grown, from grapes now certified biodynamic. It's an accessible, pretty wine, with rich flavors of pastry fillings—think raspberry scones. It's got a tart, tangy grip and the length and structure to age at least a decade.",Domaine,93,70.0,Oregon,Willamette Valley,Willamette Valley,King Estate 2014 Domaine Pinot Noir (Willamette Valley),Pinot Noir,King Estate,West Linn,45.361779,-122.613118
398,US,"Blending distinction with sheer pleasure, the bouquet opens with scents of green, black, and Kalamata olives, sage, forest floor and slate. Those aromas translate remarkably to the palate, which is a potpourri of dried herbs and wet earth. There are barely any overt fruit characteristics, and the savory, sophisticated result is simply delicious.",Estate,94,50.0,California,Santa Lucia Highlands,Central Coast,Boekenoogen 2011 Estate Pinot Noir (Santa Lucia Highlands),Pinot Noir,Boekenoogen,Highlands,37.51994,-122.34386
399,Italy,"Aromas of underbrush wild berry, iris grilled herb, vineyard dust and a balsamic note take center stage. The polished palate offers morello cherry, raspberry compote, baking spice and anise alongside refined tannins and fresh acidity. It's already tempting and nicely balanced but hold for more complexity. Drink 2021–2030.",Cerequio,93,79.0,Piedmont,Barolo,,Batasiolo 2013 Cerequio  (Barolo),Nebbiolo,Batasiolo,Barolo,44.61094,7.94284
400,Italy,"Milky chocolate and creamy almond paste open the nose of this ripe and rich Barolo. Shadings of citrus, spice, plum, licorice and root beer add to the complexity. This is a pure, elegant and traditional expression of Nebbiolo that needs another five to 10 years in the cellar.",Acclivi,91,50.0,Piedmont,Barolo,,Comm. G. B. Burlotto 2006 Acclivi  (Barolo),Nebbiolo,Comm. G. B. Burlotto,Barolo,44.61094,7.94284
402,US,"This extraordinary winery continues to produce some of Napa's most distinguished Cabernets. The vineyard is in the cool-climate appellation of Coombsville, which accounts for its superb structure of acids and tannins. Perfectly ripe black-currant flavors meld into toasty new-oak tones. At the age of more than six years, the wine is starting to mellow, but is only hinting at the drama to come. It has enough splendor to glidepath through the decades.",Select Private Reserve,97,150.0,California,Napa Valley,Napa,Marita's Vineyard 2007 Select Private Reserve Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Marita's Vineyard,California City,35.113893,-117.982087
405,US,"This is the reserve-level Pinot Gris, comprised of lots from five different vineyards. Juicy, succulent and quite tart fruit flavors emphasize fresh apples and pears, lightly dusted with cinnamon spice. The concentration and lingering finish prove it worthy of its reserve status.",Backbone,92,28.0,Oregon,Willamette Valley,Willamette Valley,King Estate 2015 Backbone Pinot Gris (Willamette Valley),Pinot Gris,King Estate,West Linn,45.361779,-122.613118
407,France,"The Domaine, which is based in Santenay, has produced a wine that has structure as well as ripe fruits. The combination promises good aging with the red-plum fruits likely to mellow into a rich concentrated wine. It is a wine to keep and age, and not drink before 2021.",La Comme Premier Cru,90,45.0,Burgundy,Santenay,,Domaine Jessiaume 2015 La Comme Premier Cru  (Santenay),Pinot Noir,Domaine Jessiaume,Santenay,46.91292,4.69672
409,France,The wine has tannins and a dry core that is fleshed out with red-berry fruits. At three-years-old it is already maturing with a rustic edge as well as spice and berry fruits. This is ready to drink.,Clos de Grands Voyens Premier Cru,87,35.0,Burgundy,Mercurey,,Domaine Jeannin-Naltet 2013 Clos de Grands Voyens Premier Cru  (Mercurey),Pinot Noir,Domaine Jeannin-Naltet,Mercurey,46.84035,4.71743
412,US,"Fruity in blackberry and dark cherry with a meaty undercurrent, Heritage blends 47% Barbera with 22% Petite Sirah, 18% Alicante Bouschet and 13% Carignane. Meaty and brisk in acidity, it has a brightness to it traditionally inspired field blends don't often have, amidst a core of power and follow-through. This is a great Lodi wine.",Heritage Field Blend,89,25.0,California,Lodi,Central Valley,Borra 2010 Heritage Field Blend Red (Lodi),Red Blend,Borra,Lodi,38.1302,-121.27245
413,US,"An oily, rich and full-figured white from the producer's estate vineyard, this wine offers elements of honey-baked apple and caramel. Well made in a big style, it's listed as 100% from the Dijon clone of Chardonnay.",Deux Chevaux Vineyard,90,55.0,California,Yountville,Napa,Tamber Bey 2013 Deux Chevaux Vineyard Chardonnay (Yountville),Chardonnay,Tamber Bey,Yountville,38.40158,-122.36081
414,US,"This wine is comprised of 65% Cabernet Sauvignon, 24% Pinot Noir, 7% Malbec, 2% Petit Verdot and the remainder Syrah and Zinfandel. Neutral oak and stainless steel both played a part in housing its mix of juicy charcuterie and nutty robust amounts of cassis and baked strawberry.",,85,35.0,California,Napa Valley,Napa,Rose & Thistle 2016 Rosé (Napa Valley),Rosé,Rose & Thistle,Napa,38.325547,-122.268262
416,US,"Dry and firmly tannic, this Cab has upfront flavors of black currants, plums, mocha and cedary oak. There's some sharpness in the texture that limits ageability, but it's a pretty wine for now.",,84,25.0,California,Santa Ynez Valley,Central Coast,Three Saints 2005 Cabernet Sauvignon (Santa Ynez Valley),Cabernet Sauvignon,Three Saints,California City,35.124896,-117.966819
429,Italy,"It takes only a few moments before you appreciate the enormity, intensity and overall beauty of this landmark wine. Cerretalto is always a high scoring expression of Brunello, but the ideal conditions of the 2007 vintage elevate it to earthly perfection. Dark and fleshy, the wine delivers ever-evolving aromas of dark fruit, chocolate, spice and tobacco. The acidity is carefully balanced against the wine's thickness and rich texture. The finish is long, luscious and elegant. Keep this bottle in your cellar 10 years or more.",Cerretalto,100,270.0,Tuscany,Brunello di Montalcino,,Casanova di Neri 2007 Cerretalto  (Brunello di Montalcino),Sangiovese Grosso,Casanova di Neri,Montalcino,43.05397,11.48853
430,US,"Made with organically grown grapes, this tawny-colored Chardonnay is ready to go. It shows well-evolved flavors of ripe apple and pear, with a cidery finish. Despite the Columbia Valley labeling, it is from Horse Heaven Hills.",Naked,87,12.0,Washington,Columbia Valley (WA),Columbia Valley,Snoqualmie 2008 Naked Chardonnay (Columbia Valley (WA)),Chardonnay,Snoqualmie,Seattle,47.561268,-122.281673
